store_id,first_name,last_name,active,email,address,city,country
1,RAFAEL,ABNEY,1,RAFAEL.ABNEY@sakilacustomer.org,"48 Maracabo Place",Talavera,Philippines
1,NATHANIEL,ADAM,1,NATHANIEL.ADAM@sakilacustomer.org,"786 Matsue Way",Joliet,"United States"
1,DIANA,ALEXANDER,1,DIANA.ALEXANDER@sakilacustomer.org,"1308 Arecibo Way","Augusta-Richmond County","United States"
1,GORDON,ALLARD,1,GORDON.ALLARD@sakilacustomer.org,"434 Ourense (Orense) Manor",Hodeida,Yemen
1,JOSE,ANDREW,1,JOSE.ANDREW@sakilacustomer.org,"1016 Iwakuni Street",Kingstown,"Saint Vincent and the Grenadines"
1,HARRY,ARCE,0,HARRY.ARCE@sakilacustomer.org,"1922 Miraj Way",Najafabad,Iran
1,JORDAN,ARCHULETA,1,JORDAN.ARCHULETA@sakilacustomer.org,"1229 Varanasi (Benares) Manor",Avellaneda,Argentina
1,MELANIE,ARMSTRONG,1,MELANIE.ARMSTRONG@sakilacustomer.org,"1166 Changhwa Street",Bayugan,Philippines
1,BEATRICE,ARNOLD,1,BEATRICE.ARNOLD@sakilacustomer.org,"1877 Ezhou Lane",Udaipur,India
1,KENT,ARSENAULT,1,KENT.ARSENAULT@sakilacustomer.org,"32 Liaocheng Way","Juiz de Fora",Brazil
1,CARL,ARTIS,1,CARL.ARTIS@sakilacustomer.org,"1628 Nagareyama Lane","San Lorenzo",Paraguay
1,TYRONE,ASHER,1,TYRONE.ASHER@sakilacustomer.org,"191 Jos Azueta Parkway",Ruse,Bulgaria
1,ALMA,AUSTIN,1,ALMA.AUSTIN@sakilacustomer.org,"1074 Binzhou Manor",Mannheim,Germany
1,MILDRED,BAILEY,1,MILDRED.BAILEY@sakilacustomer.org,"81 Hodeida Way",Jaipur,India
1,PAMELA,BAKER,1,PAMELA.BAKER@sakilacustomer.org,"1440 Fukuyama Loop",Nanyang,China
1,MARTIN,BALES,1,MARTIN.BALES@sakilacustomer.org,"368 Hunuco Boulevard",Namibe,Angola
